Area mm^2,Index
2247.83,1
6138.97,2
6092.18,3
975.78,4
6022.56,5
7551.33,6
1387.72,7
654.76,8
8463.42,9
8245.12,10
6993.24,11
5526.71,12
231.15,13
5707.34,14
8412.57,15
11197.25,16
7586.92,17
2892.46,18
2072.98,19
354.29,20
340.07,21
6791.42,22
113.07,23
5089.1,24
412.67,25
6464.74,26
8051.56,27
860.48,28
403.81,29
1688.31,30
14323.08,31
1105.68,32
9977.91,33
611.64,34
173.86,35
900.79,36
881.82,37
6024.87,38
4252.13,39
2210.37,40
10470.15,41
8265.71,42
1097.54,43
252.81,44
6904.41,45
13252.06,46
6764.27,47
1434.84,48
7669.68,49
84.67,50
195.07,51
1915.97,52
4923.42,53
1611.53,54
3484.29,55
6402.05,56
62.96,57
49.65,58
4924.79,59
2519.88,60
5771.33,61
5472.89,62
4840.03,63
10312.92,64
5422.42,65
44.29,66
976.93,67
90.35,68
6594.71,69
84.67,70
108.62,71
6762.75,72
33.87,73
1615.78,74
5135.53,75
5711.12,76
4033.56,77
6970.69,78
7682.26,79
5590.12,80
538.35,81
74.21,82
6061.96,83
1604.15,84
4465.57,85
4663.02,86
3383.62,87
3440.68,88
3252.53,89
2459.96,90
1619.04,91
5193.14,92
4092.15,93
6065.9,94
1922.11,95
2068.88,96
3151.82,97
3098.8,98
1132.03,99
1837.98,100
4797.39,101
5672.87,102
7250.99,103
4937.92,104
1337.74,105
4977.19,106
2551.89,107
2693.64,108
597.33,109
2924.57,110
399.14,111
55.51,112
6717.99,113
2780.63,114
531.84,115
3509.88,116
1437.31,117
2231.65,118
1645.15,119
2865.57,120
2470.8,121
1704.55,122
2247.83,123
6138.97,124
6092.18,125
975.78,126
6022.56,127
7551.33,128
1387.72,129
654.76,130
8463.42,131
8245.12,132
6993.24,133
5526.71,134
231.15,135
5707.34,136
8412.57,137
11197.25,138
7586.92,139
2892.46,140
2072.98,141
354.29,142
340.07,143
6791.42,144
113.07,145
5089.1,146
412.67,147
6464.74,148
8051.56,149
860.48,150
403.81,151
1688.31,152
14323.08,153
1105.68,154
9977.91,155
611.64,156
173.86,157
900.79,158
881.82,159
6024.87,160
4252.13,161
2210.37,162
10470.15,163
8265.71,164
1097.54,165
252.81,166
6904.41,167
13252.06,168
6764.27,169
1434.84,170
7669.68,171
84.67,172
195.07,173
1915.97,174
4923.42,175
1611.53,176
3484.29,177
6402.05,178
62.96,179
49.65,180
4924.79,181
2519.88,182
5771.33,183
5472.89,184
4840.03,185
10312.92,186
5422.42,187
44.29,188
976.93,189
90.35,190
6594.71,191
84.67,192
108.62,193
6762.75,194
33.87,195
1615.78,196
5135.53,197
5711.12,198
4033.56,199
6970.69,200
7682.26,201
5590.12,202
538.35,203
74.21,204
6061.96,205
1604.15,206
4465.57,207
4663.02,208
3383.62,209
3440.68,210
3252.53,211
2459.96,212
1619.04,213
5193.14,214
4092.15,215
6065.9,216
1922.11,217
2068.88,218
3151.82,219
3098.8,220
1132.03,221
1837.98,222
4797.39,223
5672.87,224
7250.99,225
4937.92,226
1337.74,227
4977.19,228
2551.89,229
2693.64,230
597.33,231
2924.57,232
399.14,233
55.51,234
6717.99,235
2780.63,236
531.84,237
3509.88,238
1437.31,239
2231.65,240
1645.15,241
2865.57,242
2470.8,243
1704.55,244
