label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,932.21,38.76,0.8026342540152769,182,10,552.71,4.55,2.38,13.56,100,False,9.3221,NO_CATEGORY
2,293.59,15.89,0.865589259075087,69,10,174.07,1.725,1.96,4.81,100,False,2.9358999999999997,NO_CATEGORY
3,341.2,16.26,0.8539107678021189,71,10,202.3,1.775,1.42,5.25,100,False,3.412,NO_CATEGORY
4,657.61,27.42,0.8147358742895353,116,10,389.9,2.9,2.26,9.58,100,False,6.5761,NO_CATEGORY
5,251.17,11.15,0.8897651908944255,48,10,148.92,1.2,1.67,4.12,100,False,2.5117,NO_CATEGORY
6,826.65,33.64,0.8149650814765547,144,10,490.12,3.6,1.62,11.89,100,False,8.2665,NO_CATEGORY
7,398.01,18.58,0.8623424081856386,78,10,235.98,1.95,1.59,6.0,100,False,3.9800999999999997,NO_CATEGORY
8,349.3,18.93,0.5948756247486643,84,10,207.1,2.1,2.26,5.73,100,False,3.4930000000000003,NO_CATEGORY
9,461.68,22.75,0.8267790262172284,106,10,273.73,2.65,1.92,7.62,100,False,4.6168000000000005,NO_CATEGORY
10,283.39,13.53,0.8503466774634344,62,10,168.02,1.55,1.79,4.47,100,False,2.8339,NO_CATEGORY
11,713.73,29.78,0.7997467541057963,147,10,423.17,3.675,1.67,10.73,100,False,7.1373,NO_CATEGORY
12,1157.16,54.3,0.7861398844990375,247,10,686.08,6.175,2.02,20.26,100,False,11.5716,NO_CATEGORY
13,1339.68,56.96,0.7966980611641039,282,10,794.3,7.05,1.84,19.72,100,False,13.3968,NO_CATEGORY
14,1387.89,52.39,0.8344707994037176,241,10,822.88,6.025,1.97,18.96,100,False,13.878900000000002,NO_CATEGORY
15,1343.02,53.27,0.7366483186086313,261,10,796.28,6.525,2.04,18.33,100,False,13.4302,NO_CATEGORY
16,1090.35,44.32,0.798160380270387,202,10,646.47,5.05,2.36,15.99,100,False,10.9035,NO_CATEGORY
17,981.18,42.48,0.8220846758238652,195,10,581.74,4.875,2.04,15.57,100,False,9.8118,NO_CATEGORY
18,869.27,41.48,0.7222393497757847,198,10,515.39,4.95,2.02,13.91,100,False,8.6927,NO_CATEGORY
19,1017.29,41.31,0.8238516069989482,200,10,603.15,5.0,1.64,14.61,100,False,10.1729,NO_CATEGORY
20,967.6,36.86,0.7701674072681872,169,10,573.69,4.225,2.16,13.31,100,False,9.676,NO_CATEGORY
21,902.83,35.53,0.8054076013361018,162,10,535.29,4.05,1.67,12.57,100,False,9.0283,NO_CATEGORY
22,829.18,34.19,0.838813151563753,162,10,491.62,4.05,1.59,12.38,100,False,8.2918,NO_CATEGORY
