,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
0,1,932.21,298.42,0.8026342540152769,182,10,552.71,4.55,18.31,104.42,100,0.1753731343283582,9.3221,3
1,2,293.59,122.35,0.865589259075087,69,10,174.07,1.725,15.06,37.01,100,0.4070175438596491,2.9359,3
2,3,341.2,125.21,0.8539107678021189,71,10,202.3,1.775,10.91,40.39,100,0.270096463022508,3.412,3
3,4,657.61,211.13,0.8147358742895353,116,10,389.9,2.9,17.4,73.77,100,0.2359154929577464,6.5761,3
4,5,251.17,85.88,0.8897651908944255,48,10,148.92,1.2,12.86,31.69,100,0.4057377049180328,2.5117,3
5,6,826.65,259.04,0.8149650814765547,144,10,490.12,3.6,12.47,91.56,100,0.1361702127659574,8.2665,3
6,7,398.01,143.05,0.8623424081856386,78,10,235.98,1.95,12.21,46.23,100,0.2640449438202247,3.9801,3
7,8,349.3,145.77,0.5948756247486643,84,10,207.1,2.1,17.4,44.16,100,0.3941176470588235,3.4930000000000003,3
8,9,461.68,175.18,0.8267790262172284,106,10,273.73,2.65,14.81,58.7,100,0.252212389380531,4.6168000000000005,3
9,10,283.39,104.21,0.8503466774634344,62,10,168.02,1.55,13.77,34.42,100,0.4,2.8339,3
10,11,713.73,229.3,0.7997467541057963,147,10,423.17,3.675,12.86,82.6,100,0.1556603773584905,7.1373,3
11,12,1157.16,418.14,0.7861398844990375,247,10,686.08,6.175,15.58,155.97,100,0.0999167360532889,11.5716,3
12,13,1339.68,438.61,0.7966980611641039,282,10,794.3,7.05,14.16,151.82,100,0.0932420872540633,13.3968,3
13,14,1387.89,403.4,0.8344707994037176,241,10,822.88,6.025,15.19,145.97,100,0.1040925266903914,13.878900000000002,3
14,15,1343.02,410.18,0.7366483186086313,261,10,796.28,6.525,15.71,141.17,100,0.1113155473781048,13.4302,3
0,1,1354.95,211.51,0.9468777256547464,99,100,8.0335,0.2475,28.44,58.96,10000,0.4823788546255506,0.135495,1
1,2,15442.35,612.46,0.9699094476177562,267,100,91.5579,0.6675,167.27,98.96,10000,1.6902887139107612,1.544235,3
2,3,1126.19,193.74,0.9215269535455022,117,100,6.6772,0.2925,43.9,47.92,10000,0.9159891598915988,0.112619,1
3,4,8648.59,659.07,0.6981512014671665,408,100,51.2776,1.02,173.64,81.95,10000,2.1188589540412046,0.864859,2
4,5,711.2,150.51,0.8590258113146046,67,100,4.2167,0.1675,25.71,47.4,10000,0.5424657534246575,0.07112,1
0,1,343.63,126.02,0.8810759384189587,75,20,50.935,0.9375,21.3,28.83,400,0.7387387387387387,0.859075,2
1,2,301.84,88.72,0.8975825057678805,45,20,44.74,0.5625,20.13,19.48,400,1.0333333333333334,0.7545999999999999,2
2,3,338.32,85.82,0.928227672373901,24,20,50.1475,0.3,18.7,22.08,400,0.8470588235294118,0.8458,2
3,4,2.55,7.09,0.8342541436464088,1,20,0.3775,0.0125,1.69,2.47,400,0.6842105263157895,0.006375,0
4,5,142.5,174.35,0.7182080924855492,76,20,21.1225,0.95,18.18,15.32,400,1.1864406779661016,0.35625,1
5,6,345.13,104.75,0.8770358306188925,61,20,51.1575,0.7625,19.74,24.03,400,0.8216216216216217,0.862825,2
6,7,350.73,87.29,0.9213966059639328,26,20,51.9875,0.325,18.05,24.42,400,0.7393617021276596,0.8768250000000001,2
7,8,290.93,94.95,0.9006840373870816,38,20,43.1225,0.475,19.22,18.31,400,1.049645390070922,0.727325,2
8,9,3.61,13.49,0.5376884422110553,5,20,0.535,0.0625,3.25,3.25,400,1.0,0.009025,0
9,10,338.24,96.59,0.9170058073071472,49,20,50.135,0.6125,19.35,21.69,400,0.8922155688622755,0.8456,2
10,11,4.1,16.11,0.5799522673031027,6,20,0.6075,0.075,1.95,5.06,400,0.3846153846153846,0.0102499999999999,0
11,12,392.19,95.64,0.9165188601158804,39,20,58.1325,0.4875,20.13,24.16,400,0.8333333333333334,0.980475,2
12,13,364.55,98.76,0.8936944387016746,42,20,54.035,0.525,21.56,23.9,400,0.9021739130434784,0.911375,2
13,14,257.95,97.95,0.8677446808510638,44,20,38.235,0.55,18.7,18.57,400,1.006993006993007,0.644875,1
14,15,247.51,104.96,0.865526393394279,56,20,36.6875,0.7,17.4,22.21,400,0.783625730994152,0.618775,1
15,16,302.68,86.04,0.8802236609770453,27,20,44.865,0.3375,20.26,20.39,400,0.9936305732484076,0.7567,2
16,17,286.0,89.2,0.8825795034611982,42,20,42.3925,0.525,16.1,24.94,400,0.6458333333333334,0.715,2
