label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,658.63,19.61,0.8674308054555956,80.0,40.0,24.40625,0.5,6.48,2.5,1600.0,2.5945945945945947,0.41164375
2,1504.52,25.12,0.903889023994812,84.0,40.0,55.751875,0.525,5.48,5.53,1600.0,0.9908536585365854,0.940325
3,1446.13,24.29,0.9479800101718152,110.0,40.0,53.588125,0.6875,6.09,5.08,1600.0,1.1993355481727574,0.9038312500000001
4,1319.53,24.29,0.9371144516979099,89.0,40.0,48.896875,0.55625,5.46,5.38,1600.0,1.0156739811912225,0.82470625
5,913.79,19.09,0.9229655372140168,64.0,40.0,33.861875,0.4,5.84,3.46,1600.0,1.6878048780487804,0.57111875
6,1438.47,23.52,0.9353080516745992,66.0,40.0,53.304375,0.4125,5.5,5.16,1600.0,1.065359477124183,0.89904375
7,1547.66,23.7,0.9376475276662273,78.0,40.0,57.350625,0.4875,5.68,5.31,1600.0,1.0698412698412698,0.9672875000000001
8,1359.72,23.17,0.949933425241849,85.0,40.0,50.38625,0.53125,4.84,6.17,1600.0,0.7841530054644809,0.849825
9,1071.81,21.13,0.9336095317848591,68.0,40.0,39.7175,0.425,5.41,3.96,1600.0,1.3659574468085107,0.66988125
10,1517.55,26.15,0.9489837891428391,80.0,40.0,56.235,0.5,5.26,5.5,1600.0,0.9570552147239264,0.94846875
11,1600.27,25.53,0.9398712233779098,97.0,40.0,59.3,0.60625,5.95,6.76,1600.0,0.8802992518703242,1.00016875
12,1419.38,22.98,0.9532952717551372,80.0,40.0,52.596875,0.5,5.25,5.09,1600.0,1.0298013245033113,0.8871125000000001
13,969.59,19.62,0.9252695960083696,69.0,40.0,35.929375,0.43125,5.77,3.54,1600.0,1.6285714285714286,0.60599375
14,1401.63,23.3,0.9425849259910395,71.0,40.0,51.939375,0.44375,5.48,5.3,1600.0,1.035031847133758,0.8760187500000001
15,1647.96,25.89,0.933486194707175,106.0,40.0,61.0675,0.6625,7.37,5.65,1600.0,1.3044776119402985,1.029975
16,1360.85,24.67,0.9327637830776523,103.0,40.0,50.428125,0.64375,7.13,4.05,1600.0,1.7625,0.85053125
17,960.36,22.09,0.9375154359101012,81.0,40.0,35.5875,0.50625,5.67,3.44,1600.0,1.6470588235294117,0.600225
1,775.61,23.02,0.8991475050836852,94.0,40.0,28.74125,0.5875,6.16,3.05,1600.0,2.016574585635359,0.48475625
2,1427.61,25.99,0.937093827843897,111.0,40.0,52.901875,0.69375,5.53,5.18,1600.0,1.0684039087947883,0.89225625
3,751.19,19.72,0.9312507840923347,78.0,40.0,27.83625,0.4875,5.23,2.88,1600.0,1.8128654970760234,0.46949375000000004
4,864.65,18.77,0.9099703569590145,76.0,40.0,32.040625,0.475,6.02,3.07,1600.0,1.9615384615384615,0.54040625
5,1480.74,24.24,0.916419624217119,86.0,40.0,54.870625,0.5375,5.75,5.35,1600.0,1.0757097791798107,0.9254625
6,1308.14,21.99,0.9380404678107954,77.0,40.0,48.475,0.48125,5.38,4.96,1600.0,1.0850340136054422,0.8175875
7,1389.69,23.01,0.9359877314551858,88.0,40.0,51.496875,0.55,6.04,4.6,1600.0,1.3113553113553114,0.86855625
8,1490.38,23.63,0.9463656517408673,70.0,40.0,55.228125,0.4375,5.55,5.18,1600.0,1.0716612377850163,0.9314875
