Size,Amount,Min. Area mm^2,Max. Area mm^2.png,Mean,Std,Mean+Std,CV,Median
1x1,[2883],1.72,6320.13,104.95,198.90898852063324,104.95±198.91,1.9,88.68
2x2,[904],1.82,1449.04,351.09,133.62692361444078,351.09±133.63,0.38,349.245
3x3,[654],1.75,4141.48,638.49,406.84638476921384,638.49±406.85,0.64,738.175
4x4,[408],1.7,3854.39,889.03,661.2714078285775,889.03±661.27,0.74,945.595
5x5,[314],1.69,4867.76,940.78,910.1857329996639,940.78±910.19,0.97,635.235
6x6,[221],1.77,8282.59,1513.96,1426.977348507355,1513.96±1426.98,0.94,1076.18
7x7,[200],1.72,8000.74,1703.67,1543.8779237479796,1703.67±1543.88,0.91,1403.79
8x8,[143],1.82,10805.58,2489.53,2604.0290467426275,2489.53±2604.03,1.05,1527.89
9x9,[145],1.69,14237.52,2759.81,2908.737389170415,2759.81±2908.74,1.05,1682.35
10x10,[84],1.82,28626.17,5929.7,5581.650167135586,5929.70±5581.65,0.94,5812.6849999999995
